City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint Paul Harbor,US,57.79,-152.4072,51.31,82,100,14.97,overcast clouds
79,Meulaboh,ID,4.1363,96.1285,79.09,82,94,3.56,overcast clouds
80,Vilyuysk,RU,63.7553,121.6247,31.89,62,99,10.09,overcast clouds
81,Penápolis,BR,-21.4197,-50.0775,69.82,82,11,5.06,few clouds
82,Mörön,MN,47.3825,110.3165,39.09,21,0,10.67,clear sky
83,Mar del Plata,AR,-38.0023,-57.5575,53.1,87,95,5.01,overcast clouds
84,Riyadh,SA,24.6877,46.7219,75.34,24,0,5.03,clear sky
85,Otane,NZ,-39.8833,176.6333,56.01,70,0,6.53,clear sky
86,Kahului,US,20.8947,-156.47,80.62,78,75,12.66,light rain
87,Beringovskiy,RU,63.05,179.3167,37.31,69,86,6.58,overcast clouds
88,Chokurdakh,RU,70.6333,147.9167,26.76,76,98,3.15,overcast clouds
89,New Norfolk,AU,-42.7826,147.0587,54.91,54,93,4.0,overcast clouds
90,Ketchikan,US,55.3422,-131.6461,52.27,87,0,9.22,clear sky
91,Igrim,RU,63.1906,64.4162,42.69,77,100,2.53,overcast clouds
92,Sobolevo,RU,54.4299,31.8996,36.14,97,100,11.79,moderate rain
93,Lüderitz,NA,-26.6481,15.1594,55.17,80,0,19.55,clear sky
94,Nizhniy Odes,RU,63.6445,54.856,39.61,91,100,6.89,overcast clouds
95,Tiarei,PF,-17.5333,-149.3333,77.02,82,18,25.93,light rain
96,Sakakah,SA,29.9697,40.2064,74.77,16,0,2.59,clear sky
97,Aguadas,CO,5.6116,-75.4562,52.0,94,70,2.19,broken clouds
98,La Mira,MX,18.035,-102.3266,76.51,88,69,3.4,broken clouds
99,Sinegor'ye,RU,62.0788,150.477,21.24,95,100,6.44,light snow
100,Kaitangata,NZ,-46.2817,169.8464,42.35,95,93,8.21,overcast clouds
101,Oktyabr'skoye,RU,43.0645,44.7417,51.94,100,61,6.71,broken clouds
102,Bone,ID,-9.828,124.4458,79.79,66,73,4.59,broken clouds
103,Onda,ES,39.9667,-0.25,67.89,87,98,4.41,overcast clouds
104,Namatanai,PG,-3.6667,152.4333,84.49,71,80,9.93,light rain
105,Smiths Falls,CA,44.9001,-76.0161,42.84,59,96,1.16,overcast clouds
106,Lima,PE,-12.0432,-77.0282,60.91,84,100,11.5,overcast clouds
107,Sciacca,IT,37.5082,13.0881,66.04,68,18,5.57,few clouds
108,Alexandria,EG,31.2156,29.9553,75.74,59,0,11.43,clear sky
109,Isangel,VU,-19.55,169.2667,80.71,69,75,13.8,broken clouds
110,Iqaluit,CA,63.7506,-68.5145,37.13,86,100,12.66,overcast clouds
111,Dukat,RU,62.55,155.55,17.37,90,100,6.51,overcast clouds
112,Kongolo,CD,-5.3833,27.0,72.75,82,50,2.42,scattered clouds
113,Narsaq,GL,60.9167,-46.05,31.73,50,0,5.26,clear sky
114,Ucluelet,CA,48.9329,-125.5528,55.09,93,78,3.4,broken clouds
115,Roboré,BO,-18.3333,-59.75,72.63,48,18,2.1,few clouds
116,Muyuka,CM,4.2898,9.4103,73.0,95,100,1.5,overcast clouds
117,Udimskiy,RU,61.1417,45.9144,49.96,93,92,8.1,overcast clouds
118,Khorixas,NA,-20.3667,14.9667,66.7,24,67,3.96,broken clouds
119,Oistins,BB,13.0667,-59.5333,80.69,83,20,17.27,few clouds
120,Peniche,PT,39.3558,-9.3811,60.12,94,1,7.31,clear sky
121,Talnakh,RU,69.4865,88.3972,33.21,94,100,21.07,light snow
122,Severo-Kuril'sk,RU,50.6789,156.125,52.72,76,100,19.26,overcast clouds
123,Port Blair,IN,11.6667,92.75,84.24,79,75,3.44,broken clouds
124,Ust-Nera,RU,64.5667,143.2,21.31,82,99,6.78,overcast clouds
125,Esperance,AU,-33.8667,121.9,64.24,72,62,10.89,broken clouds
126,Krutinka,RU,56.0055,71.5113,45.86,41,78,15.77,broken clouds
127,Naze,JP,28.3667,129.4833,83.32,74,38,6.24,scattered clouds
128,Fairbanks,US,64.8378,-147.7164,43.3,81,20,4.61,few clouds
129,Mount Isa,AU,-20.7333,139.5,96.57,23,40,17.27,scattered clouds
130,Ulaangom,MN,49.9811,92.0667,38.7,26,0,3.11,clear sky
131,Xining,CN,36.6167,101.7667,53.64,40,78,0.65,broken clouds
132,Qui Nhon,VN,13.7667,109.2333,82.04,82,99,8.59,overcast clouds
133,Turek,PL,52.0155,18.5005,49.6,91,61,15.37,broken clouds
134,Mitsamiouli,KM,-11.3847,43.2844,75.49,73,20,5.75,few clouds
135,Menongue,AO,-14.6585,17.691,60.85,30,20,3.0,few clouds
136,Bubaque,GW,11.2833,-15.8333,80.71,77,100,10.33,overcast clouds
137,Grand Gaube,MU,-20.0064,57.6608,75.38,64,1,7.0,clear sky
138,Kitgum,UG,3.2783,32.8867,67.57,92,100,2.51,light rain
139,Makakilo City,US,21.3469,-158.0858,79.12,65,20,14.97,few clouds
140,Kidal,ML,18.4411,1.4078,84.94,16,0,14.43,clear sky
141,Okhotsk,RU,59.3833,143.3,38.19,41,100,5.97,overcast clouds
142,Mporokoso,ZM,-9.3727,30.125,67.37,37,20,7.83,few clouds
143,San Patricio,MX,19.2167,-104.7,75.76,90,100,3.42,overcast clouds
144,Dikson,RU,73.5069,80.5464,32.18,99,100,6.93,light snow
145,Tairua,NZ,-37.0167,175.85,55.98,84,100,5.26,overcast clouds
146,Vaini,TO,-21.2,-175.2,80.76,74,75,12.66,broken clouds
147,Jaltenango,MX,15.8719,-92.7247,67.28,98,90,1.23,overcast clouds
148,Castro,CL,-42.4721,-73.7732,52.18,95,100,9.22,light rain
149,Nyakabindi,TZ,-2.6333,33.9833,73.94,44,100,5.57,overcast clouds
150,Port Hardy,CA,50.6996,-127.4199,53.6,100,20,3.44,few clouds
151,Tautira,PF,-17.7333,-149.15,76.17,82,35,24.27,light rain
152,Wajir,KE,1.7471,40.0573,73.36,60,0,0.0,clear sky
153,Saskylakh,RU,71.9167,114.0833,20.19,91,98,7.23,overcast clouds
154,Bambous Virieux,MU,-20.3428,57.7575,75.22,73,40,12.66,scattered clouds
155,San Vicente de Cañete,PE,-13.0751,-76.3835,60.08,87,69,4.5,broken clouds
156,Progreso,MX,21.2833,-89.6667,76.8,75,10,8.12,clear sky
157,Sinnamary,GF,5.3833,-52.95,76.96,88,93,8.61,overcast clouds
158,Killybegs,IE,54.6333,-8.45,57.83,93,100,13.33,light rain
159,Olecko,PL,54.0337,22.507,48.97,82,100,18.63,overcast clouds
160,Coolum Beach,AU,-26.5333,153.1,73.35,63,26,7.72,scattered clouds
161,Pangnirtung,CA,66.1451,-65.7125,33.22,67,100,11.32,overcast clouds
162,Ilebo,CD,-4.3167,20.5833,69.62,97,97,1.48,overcast clouds
163,Porosozero,RU,62.7191,32.727,41.05,98,100,7.07,overcast clouds
164,Goedereede,NL,51.8175,3.9806,52.02,88,100,15.68,overcast clouds
165,La Ronge,CA,55.1001,-105.2842,39.42,93,0,0.0,clear sky
166,Guilin,CN,25.2819,110.2864,95.11,32,1,3.87,clear sky
167,Rocha,UY,-34.4833,-54.3333,45.63,88,46,2.24,scattered clouds
168,Alvinópolis,BR,-20.1067,-43.0489,63.14,97,59,1.99,light rain
169,Marabá,BR,-5.3686,-49.1178,75.38,94,59,0.0,smoke
170,Channel-Port aux Basques,CA,47.5702,-59.1367,47.25,69,1,9.66,clear sky
